MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,TRADES,HI_52_WK,LO_52_WK,CATEGORY,DATE
Y,,,Nifty 50,17625.7,17681.4,17827.6,17593.55,17805.25,553099464687.46,3991962318,22302162,18604.45,13596.75,NIFTY INDEX,01/04/2022
Y,,,NIFTY50 EQL Wgt,19635.95,19707.45,19791.05,19611.25,19768.6,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,NIFTY100 EQL Wgt,20748.75,20834.6,20855.7,20682.65,20825.85,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,NIFTY100 LowVol30,13312.25,13344.55,13423.3,13282.3,13408.55,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,NIFTY Alpha 50,34945.85,35119.9,35182.9,34772.4,35021.3,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,NIFTY MIDCAP 150,11673.45,11718.9,11743.45,11632.75,11702.1,0,0,0,12338.5,7840.25,NIFTY INDEX,01/04/2022
Y,,,NIFTY SMLCAP 50,5414.7,5438.75,5452.5,5387.8,5426.25,0,0,0,5889.45,3629.75,NIFTY INDEX,01/04/2022
Y,,,NIFTY SMLCAP 250,9966.35,10033.15,10048.85,9947.65,10018.45,0,0,0,10129.1,6094.5,NIFTY INDEX,01/04/2022
Y,,,NIFTY MIDSML 400,11057,11109.95,11130.1,11024.75,11093.9,0,0,0,11543.4,7220.15,NIFTY INDEX,01/04/2022
Y,,,NIFTY200 QUALTY30,15294.85,15324.5,15366.5,15215,15348.55,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,Nifty FinSrv25 50,17655.05,17711.5,17851.4,17628.35,17833.2,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,NIFTY AlphaLowVol,17833.6,17880.45,17933.2,17736.05,17911.55,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,Nifty200Momentm30,21031.1,21114.1,21138.2,20877.35,21107.4,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,Nifty100ESGSecLdr,3000.8,3010.05,3031.15,2992.25,3027.8,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,Nifty IT,39123.8,39243.5,39446.7,38828.6,39370.7,0,0,0,39446.7,24212.8,NIFTY INDEX,01/04/2022
Y,,,Nifty Next 50,42549.7,42746.8,42776.8,42247.15,42556.35,0,0,0,45290.8,31638.15,NIFTY INDEX,01/04/2022
Y,,,Nifty Bank,36421.9,36551.25,36887.8,36374.4,36840.15,0,0,0,41829.6,29687.7,NIFTY INDEX,01/04/2022
Y,,,NIFTY MIDCAP 100,30788,30911,30980.65,30686.9,30870.35,0,0,0,33243.5,20769.65,NIFTY INDEX,01/04/2022
Y,,,Nifty 500,15204.6,15260.9,15333.6,15168.15,15318.75,0,0,0,16004.45,11273.55,NIFTY INDEX,01/04/2022
Y,,,Nifty 100,17874,17934.5,18051.5,17831.5,18030.95,0,0,0,18870.7,13704.15,NIFTY INDEX,01/04/2022
Y,,,Nifty Midcap 50,8524.3,8558.2,8583.35,8497,8559.15,0,0,0,9196.75,5946.5,NIFTY INDEX,01/04/2022
Y,,,Nifty Realty,489.65,492.35,493.5,484.25,487.05,0,0,0,560.9,298.35,NIFTY INDEX,01/04/2022
Y,,,Nifty Infra,5010.3,5028.5,5072.8,5014.95,5068.7,0,0,0,5362.8,3660,NIFTY INDEX,01/04/2022
Y,,,Nifty Energy,22849.25,22962.8,23417.25,22924.65,23370.35,0,0,0,25343.5,16104.6,NIFTY INDEX,01/04/2022
Y,,,Nifty FMCG,37606.05,37687.6,37842.65,37477.75,37800.35,0,0,0,42021.45,32312.45,NIFTY INDEX,01/04/2022
Y,,,Nifty MNC,19353.8,19445.7,19461.9,19253.2,19387.7,0,0,0,20129.85,15412.8,NIFTY INDEX,01/04/2022
Y,,,Nifty Pharma,14156.4,14207.05,14239.45,14017.55,14040.65,0,0,0,14938.25,11280.8,NIFTY INDEX,01/04/2022
Y,,,Nifty PSE,3889,3909,3970,3906.5,3952.45,0,0,0,4504.35,2711.4,NIFTY INDEX,01/04/2022
Y,,,Nifty PSU Bank,2584.7,2595.3,2631.15,2584.2,2616.75,0,0,0,3054.75,1740.2,NIFTY INDEX,01/04/2022
Y,,,Nifty Serv Sector,24838.6,24917.75,25125.05,24776.3,25091.15,0,0,0,25822.85,19147.5,NIFTY INDEX,01/04/2022
Y,,,India VIX,16.4525,16.4525,16.675,15.71,16.12,0,0,0,29.645,9.025,NIFTY INDEX,01/04/2022
Y,,,Nifty Auto,11114.55,11165,11171.05,11058.25,11139.4,0,0,0,12139.75,9345.2,NIFTY INDEX,01/04/2022
Y,,,Nifty Metal,5628.1,5663.8,5670.9,5559.9,5606.85,0,0,0,6312.2,3062.7,NIFTY INDEX,01/04/2022
Y,,,Nifty Media,2251.2,2251.6,2279.5,2238.7,2251.4,0,0,0,2494.55,1409.05,NIFTY INDEX,01/04/2022
Y,,,NIFTY SMLCAP 100,11418.45,11473.7,11495.55,11349.65,11455,0,0,0,11876.5,7131.25,NIFTY INDEX,01/04/2022
Y,,,Nifty 200,9348,9380.4,9432.3,9325.55,9422.45,0,0,0,9895.1,7057.3,NIFTY INDEX,01/04/2022
Y,,,Nifty Div Opps 50,3755.05,3767.5,3795.55,3752.2,3791.4,0,0,0,3971,2826.9,NIFTY INDEX,01/04/2022
Y,,,Nifty Commodities,5671.75,5698.15,5718.6,5659.45,5712.5,0,0,0,6236.5,3702.3,NIFTY INDEX,01/04/2022
Y,,,Nifty Consumption,7090.7,7114.8,7140.4,7070.45,7132.1,0,0,0,7653.45,5720.85,NIFTY INDEX,01/04/2022
Y,,,Nifty Fin Service,17761.05,17816.35,17994.35,17726.85,17972.95,0,0,0,19778.95,14352.2,NIFTY INDEX,01/04/2022
Y,,,Nifty50 Div Point,154.6,154.6,154.6,154.6,154.6,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,Nifty100 Liq 15,4425.3,4447.25,4487.75,4433.3,4481.65,0,0,0,4790.1,3276.85,NIFTY INDEX,01/04/2022
Y,,,Nifty CPSE,2296.5,2307.5,2361.4,2306.25,2349.1,0,0,0,2547.1,1550.3,NIFTY INDEX,01/04/2022
Y,,,Nifty GrowSect 15,7684,7714.9,7735.05,7666.25,7703.65,0,0,0,8301.15,6669.15,NIFTY INDEX,01/04/2022
Y,,,Nifty50 PR 2x Lev,9101.4,9158.1,9308.75,9068.1,9286,0,0,0,10268.25,5713.1,NIFTY INDEX,01/04/2022
Y,,,Nifty50 PR 1x Inv,251.6,250.85,252.1,248.75,249.1,0,0,0,323.4,238,NIFTY INDEX,01/04/2022
Y,,,Nifty50 TR 2x Lev,12379.8,12456.95,12661.85,12334.55,12630.9,0,0,0,13910.9,7594.25,NIFTY INDEX,01/04/2022
Y,,,Nifty50 TR 1x Inv,215.9,215.2,216.3,213.45,213.7,0,0,0,280.65,204.6,NIFTY INDEX,01/04/2022
Y,,,Nifty50 Value 20,9265.1,9291.65,9367.9,9246.75,9355.05,0,0,0,9537.6,6849.25,NIFTY INDEX,01/04/2022
Y,,,Nifty Mid Liq 15,7294.65,7321.05,7368.6,7282.05,7351.45,0,0,0,7961.85,5311.75,NIFTY INDEX,01/04/2022
Y,,,Nifty Pvt Bank,18531.85,18604.9,18720.95,18481.15,18682.2,0,0,0,21719.3,16215.95,NIFTY INDEX,01/04/2022
Y,,,NIFTY100 Qualty30,4007.7,4016.7,4033.8,3989.5,4028.1,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,Nifty GS 8 13Yr,2300.03,2300.44,2300.44,2293.59,2294,0,0,0,0,0,NIFTY INDEX,01/04/2022
Y,,,Nifty GS 10Yr,2057.67,2058.01,2058.01,2049.76,2050.43,0,0,0,0,0,NIFTY INDEX,01/04/2022
